Approved symbol	Approved name	Ensembl gene ID
ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	ENSG00000238098
ABCB1	ATP binding cassette subfamily B member 1	ENSG00000085563
ABCB2	symbol withdrawn, see [HGNC:43](/data/gene-symbol-report/#!/hgnc_id/HGNC:43)	
ABCB3	symbol withdrawn, see [HGNC:44](/data/gene-symbol-report/#!/hgnc_id/HGNC:44)	
ABCB4	ATP binding cassette subfamily B member 4	ENSG00000005471
ABCB5	ATP binding cassette subfamily B member 5	ENSG00000004846
ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	ENSG00000115657
ABCB7	ATP binding cassette subfamily B member 7	ENSG00000131269
ABCB8	ATP binding cassette subfamily B member 8	ENSG00000197150
ABCB9	ATP binding cassette subfamily B member 9	ENSG00000150967
ABCB10	ATP binding cassette subfamily B member 10	ENSG00000135776
ABCB10P1	ABCB10 pseudogene 1	ENSG00000274099
ABCB10P2	symbol withdrawn, see [HGNC:14114](/data/gene-symbol-report/#!/hgnc_id/HGNC:14114)	
ABCB10P3	ABCB10 pseudogene 3	ENSG00000261524
ABCB10P4	ABCB10 pseudogene 4	ENSG00000260053
ABCB11	ATP binding cassette subfamily B member 11	ENSG00000073734
ABCC1	ATP binding cassette subfamily C member 1 (ABCC1 blood group)	ENSG00000103222
ABCC2	ATP binding cassette subfamily C member 2	ENSG00000023839
ABCC3	ATP binding cassette subfamily C member 3	ENSG00000108846
ABCC4	ATP binding cassette subfamily C member 4 (PEL blood group)	ENSG00000125257
ABCC5	ATP binding cassette subfamily C member 5	ENSG00000114770
ABCC5-AS1	ABCC5 antisense RNA 1	ENSG00000223882
ABCC6	ATP binding cassette subfamily C member 6	ENSG00000091262
ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	ENSG00000256340
ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	ENSG00000255277
ABCC7	symbol withdrawn, see [HGNC:1884](/data/gene-symbol-report/#!/hgnc_id/HGNC:1884)	
ABCC8	ATP binding cassette subfamily C member 8	ENSG00000006071
ABCC9	ATP binding cassette subfamily C member 9	ENSG00000069431
ABCC10	ATP binding cassette subfamily C member 10	ENSG00000124574
ABCC11	ATP binding cassette subfamily C member 11	ENSG00000121270
ABCC12	ATP binding cassette subfamily C member 12	ENSG00000140798
ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	ENSG00000243064
ABCD1	ATP binding cassette subfamily D member 1	ENSG00000101986
ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	
ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	ENSG00000215151
ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	ENSG00000261233
ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	ENSG00000225293
ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	ENSG00000214330
ABCD2	ATP binding cassette subfamily D member 2	ENSG00000173208
ABCD3	ATP binding cassette subfamily D member 3	ENSG00000117528
ABCD4	ATP binding cassette subfamily D member 4	ENSG00000119688
ABCE1	ATP binding cassette subfamily E member 1	ENSG00000164163
ABCF1	ATP binding cassette subfamily F member 1	ENSG00000204574
ABCF1-DT	ABCF1 divergent transcript	
ABCF2	ATP binding cassette subfamily F member 2	ENSG00000033050
ABCF2-H2BK1	ABCF2-H2BK1 readthrough	ENSG00000285292
ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	ENSG00000242159
ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	ENSG00000228769
ABCF3	ATP binding cassette subfamily F member 3	ENSG00000161204
ABCG1	ATP binding cassette subfamily G member 1	ENSG00000160179
ABCG2	ATP binding cassette subfamily G member 2 (JR blood group)	ENSG00000118777
ABCG4	ATP binding cassette subfamily G member 4	ENSG00000172350
ABCG5	ATP binding cassette subfamily G member 5	ENSG00000138075
ABCG8	ATP binding cassette subfamily G member 8	ENSG00000143921
ABCR	symbol withdrawn, see [HGNC:34](/data/gene-symbol-report/#!/hgnc_id/HGNC:34)	
ABHD1	abhydrolase domain containing 1	ENSG00000143994
ABHD2	abhydrolase domain containing 2, acylglycerol lipase	ENSG00000140526
ABHD3	abhydrolase domain containing 3, phospholipase	ENSG00000158201
ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	ENSG00000100439
ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	ENSG00000011198
ABHD6	abhydrolase domain containing 6, acylglycerol lipase	ENSG00000163686
ABHD8	abhydrolase domain containing 8	ENSG00000127220
ABHD10	abhydrolase domain containing 10, depalmitoylase	ENSG00000144827
ABHD11	abhydrolase domain containing 11	ENSG00000106077
ABHD11-AS2	ABHD11 antisense RNA 2	
ABHD12	abhydrolase domain containing 12, lysophospholipase	ENSG00000100997
ABHD12B	abhydrolase domain containing 12B	ENSG00000131969
ABHD13	abhydrolase domain containing 13	ENSG00000139826
ABHD14A	abhydrolase domain containing 14A	ENSG00000248487
ABHD14A-ACY1	ABHD14A-ACY1 readthrough	ENSG00000114786
ABHD14B	abhydrolase domain containing 14B	ENSG00000114779
ABHD15	abhydrolase domain containing 15	ENSG00000168792
ABHD15-AS1	ABHD15 antisense RNA 1	ENSG00000264031
ABHD16A	abhydrolase domain containing 16A, phospholipase	ENSG00000204427
ABHD16B	abhydrolase domain containing 16B	ENSG00000183260
ABHD17A	abhydrolase domain containing 17A, depalmitoylase	ENSG00000129968
ABHD17AP1	ABHD17A pseudogene 1	ENSG00000198658
ABHD17AP2	symbol withdrawn, see [HGNC:28394](/data/gene-symbol-report/#!/hgnc_id/HGNC:28394)	
ABHD17AP3	ABHD17A pseudogene 3	ENSG00000250536
ABHD17AP4	ABHD17A pseudogene 4	ENSG00000229107
ABHD17AP5	ABHD17A pseudogene 5	ENSG00000263366
ABHD17AP6	ABHD17A pseudogene 6	ENSG00000226981
ABHD17AP7	ABHD17A pseudogene 7	ENSG00000260864
ABHD17AP8	ABHD17A pseudogene 8	ENSG00000260540
ABHD17AP9	ABHD17A pseudogene 9	ENSG00000261536
ABHD17B	abhydrolase domain containing 17B, depalmitoylase	ENSG00000107362
ABHD17C	abhydrolase domain containing 17C, depalmitoylase	ENSG00000136379
ABHD18	abhydrolase domain containing 18	ENSG00000164074
ABI1	abl interactor 1	ENSG00000136754
ABI1P1	abl interactor 1 pseudogene 1	ENSG00000271484
ABI2	abl interactor 2	ENSG00000138443
ABI3	ABI family member 3	ENSG00000108798
ABI3BP	ABI family member 3 binding protein	ENSG00000154175
ABITRAM	actin binding transcription modulator	ENSG00000119328
ABITRAMP1	ABITRAM pseudogene 1	ENSG00000251106
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	ENSG00000097007
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	ENSG00000143322
ABLIM1	actin binding LIM protein 1	ENSG00000099204
ABLIM2	actin binding LIM protein family member 2	ENSG00000163995
ABLIM3	actin binding LIM protein family member 3	ENSG00000173210
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	ENSG00000175164
ABR	ABR activator of RhoGEF and GTPase	ENSG00000159842
ABR-AS1	ABR antisense RNA 1	ENSG00000235361
ABRA	actin binding Rho activating protein	ENSG00000174429
ABRACL	ABRA C-terminal like	ENSG00000146386
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	ENSG00000163322
ABRAXAS1P1	ABRAXAS1 pseudogene 1	ENSG00000213431
ABRAXAS1P2	ABRAXAS1 pseudogene 2	ENSG00000253384
ABRAXAS2	abraxas 2, BRISC complex subunit	ENSG00000165660
ABT1	activator of basal transcription 1	ENSG00000146109
ABT1P1	activator of basal transcription 1 pseudogene 1	ENSG00000250496
ABTB1	ankyrin repeat and BTB domain containing 1	ENSG00000114626
ABTB2	ankyrin repeat and BTB domain containing 2	ENSG00000166016
ABTB3	ankyrin repeat and BTB domain containing 3	ENSG00000151136
ACAA1	acetyl-CoA acyltransferase 1	ENSG00000060971
ACAA2	acetyl-CoA acyltransferase 2	ENSG00000167315
ACAA2P1	ACAA2 pseudogene 1	ENSG00000233585
ACACA	acetyl-CoA carboxylase alpha	ENSG00000278540
ACACB	acetyl-CoA carboxylase beta	ENSG00000076555
ACAD	acyl-Coenzyme A dehydrogenase, multiple (chr X)	
ACAD8	acyl-CoA dehydrogenase family member 8	ENSG00000151498
ACAD9	acyl-CoA dehydrogenase family member 9	ENSG00000177646
ACAD9-DT	ACAD9 divergent transcript	ENSG00000287110
ACAD10	acyl-CoA dehydrogenase family member 10	ENSG00000111271
ACAD11	acyl-CoA dehydrogenase family member 11	ENSG00000240303
ACADL	acyl-CoA dehydrogenase long chain	ENSG00000115361
ACADM	acyl-CoA dehydrogenase medium chain	ENSG00000117054
ACADS	acyl-CoA dehydrogenase short chain	ENSG00000122971
ACADSB	acyl-CoA dehydrogenase short/branched chain	ENSG00000196177
ACADVL	acyl-CoA dehydrogenase very long chain	ENSG00000072778
ACAN	aggrecan	ENSG00000157766
ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	ENSG00000072818
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	ENSG00000114331
ACAP2-IT1	ACAP2 intronic transcript 1	ENSG00000229325
ACAP3	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3	ENSG00000131584
ACAT1	acetyl-CoA acetyltransferase 1	ENSG00000075239
ACAT2	acetyl-CoA acetyltransferase 2	ENSG00000120437
ACBD3	acyl-CoA binding domain containing 3	ENSG00000182827
ACBD3-AS1	ACBD3 antisense RNA 1	ENSG00000234478
ACBD4	acyl-CoA binding domain containing 4	ENSG00000181513
ACBD5	acyl-CoA binding domain containing 5	ENSG00000107897
ACBD6	acyl-CoA binding domain containing 6	ENSG00000230124
ACBD7	acyl-CoA binding domain containing 7	ENSG00000176244
ACBP	symbol withdrawn, see [HGNC:2313](/data/gene-symbol-report/#!/hgnc_id/HGNC:2313)	
ACC	symbol withdrawn, see [HGNC:84](/data/gene-symbol-report/#!/hgnc_id/HGNC:84)	
ACCN	symbol withdrawn, see [HGNC:99](/data/gene-symbol-report/#!/hgnc_id/HGNC:99)	
ACCPN	symbol withdrawn, see [HGNC:10914](/data/gene-symbol-report/#!/hgnc_id/HGNC:10914)	
ACCS	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	ENSG00000110455
ACCSL	1-aminocyclopropane-1-carboxylate synthase homolog (inactive) like	ENSG00000205126
ACCSLP1	ACCSL pseudogene 1	ENSG00000230570
ACD	ACD shelterin complex subunit and telomerase recruitment factor	ENSG00000102977
ACE	angiotensin I converting enzyme	ENSG00000159640
ACE2	angiotensin converting enzyme 2	ENSG00000130234
ACE2-DT	ACE2 divergent transcript	ENSG00000225833
ACE3P	angiotensin I converting enzyme 3, pseudogene	ENSG00000224353
ACER1	alkaline ceramidase 1	ENSG00000167769
ACER2	alkaline ceramidase 2	ENSG00000177076
ACER2P1	ACER2 pseudogene 1	ENSG00000180105
ACER3	alkaline ceramidase 3	ENSG00000078124
ACER3-AS1	ACER antisense RNA 1	ENSG00000254988
ACH	symbol withdrawn, see [HGNC:3690](/data/gene-symbol-report/#!/hgnc_id/HGNC:3690)	
ACHAP	symbol withdrawn, see [HGNC:21101](/data/gene-symbol-report/#!/hgnc_id/HGNC:21101)	
ACHE	acetylcholinesterase (Yt blood group)	ENSG00000087085
ACHM1	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	
ACHM2	symbol withdrawn, see [HGNC:2150](/data/gene-symbol-report/#!/hgnc_id/HGNC:2150)	
ACHM3	symbol withdrawn, see [HGNC:2153](/data/gene-symbol-report/#!/hgnc_id/HGNC:2153)	
ACHRD	symbol withdrawn, see [HGNC:1965](/data/gene-symbol-report/#!/hgnc_id/HGNC:1965)	
ACHRG	symbol withdrawn, see [HGNC:1967](/data/gene-symbol-report/#!/hgnc_id/HGNC:1967)	
ACIN1	apoptotic chromatin condensation inducer 1	ENSG00000100813
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	ENSG00000213088
ACKR2	atypical chemokine receptor 2	ENSG00000144648
ACKR3	atypical chemokine receptor 3	ENSG00000144476
ACKR4	atypical chemokine receptor 4	ENSG00000129048
ACKR4P1	ACKR4 pseudogene 1	ENSG00000225415
ACLS	acrocallosal syndrome	
ACLY	ATP citrate lyase	ENSG00000131473
ACMG	acromegaly	
ACMSD	aminocarboxymuconate semialdehyde decarboxylase	ENSG00000153086
ACNATP	acyl-CoA:amino acid N-acyltransferase, pseudogene	ENSG00000227411
ACO1	aconitase 1	ENSG00000122729
ACO2	aconitase 2	ENSG00000100412
ACO2P1	ACO2 pseudogene 1	ENSG00000235485
ACO2P2	ACO2 pseudogene 2	ENSG00000235371
ACOD1	aconitate decarboxylase 1	ENSG00000102794
ACOT1	acyl-CoA thioesterase 1	ENSG00000184227
ACOT2	acyl-CoA thioesterase 2	ENSG00000119673
ACOT4	acyl-CoA thioesterase 4	ENSG00000177465
ACOT6	acyl-CoA thioesterase 6	ENSG00000205669
ACOT7	acyl-CoA thioesterase 7	ENSG00000097021
ACOT8	acyl-CoA thioesterase 8	ENSG00000101473
ACOT9	acyl-CoA thioesterase 9	ENSG00000123130
ACOT11	acyl-CoA thioesterase 11	ENSG00000162390
ACOT12	acyl-CoA thioesterase 12	ENSG00000172497
ACOT13	acyl-CoA thioesterase 13	ENSG00000112304
ACOX1	acyl-CoA oxidase 1	ENSG00000161533
ACOX2	acyl-CoA oxidase 2	ENSG00000168306
ACOX3	acyl-CoA oxidase 3, pristanoyl	ENSG00000087008
ACOXL	acyl-CoA oxidase like	ENSG00000153093
ACOXL-AS1	ACOXL antisense RNA 1	ENSG00000204581
ACP1	acid phosphatase 1	ENSG00000143727
ACP2	acid phosphatase 2, lysosomal	ENSG00000134575
ACP3	acid phosphatase 3	ENSG00000014257
ACP4	acid phosphatase 4	ENSG00000142513
ACP5	acid phosphatase 5, tartrate resistant	ENSG00000102575
ACP6	acid phosphatase 6, lysophosphatidic	ENSG00000162836
ACP7	acid phosphatase 7, tartrate resistant (putative)	ENSG00000183760
ACR	acrosin	ENSG00000100312
ACRBP	acrosin binding protein	ENSG00000111644
ACRP1	ACR pseudogene 1	ENSG00000175509
ACRV1	acrosomal vesicle protein 1	ENSG00000134940
ACS3	symbol withdrawn, see [HGNC:12428](/data/gene-symbol-report/#!/hgnc_id/HGNC:12428)	
ACSBG1	acyl-CoA synthetase bubblegum family member 1	ENSG00000103740
ACSBG2	acyl-CoA synthetase bubblegum family member 2	ENSG00000130377
ACSF2	acyl-CoA synthetase family member 2	ENSG00000167107
ACSF3	acyl-CoA synthetase family member 3	ENSG00000176715
ACSL1	acyl-CoA synthetase long chain family member 1	ENSG00000151726
ACSL3	acyl-CoA synthetase long chain family member 3	ENSG00000123983
ACSL3-AS1	ACSL3 antisense RNA 1	ENSG00000234193
ACSL3P1	ACSL3 pseudogene 1	ENSG00000244062
ACSL4	acyl-CoA synthetase long chain family member 4	ENSG00000068366
ACSL5	acyl-CoA synthetase long chain family member 5	ENSG00000197142
ACSL6	acyl-CoA synthetase long chain family member 6	ENSG00000164398
ACSL6-AS1	ACSL6 antisense RNA 1	ENSG00000223548
ACSM1	acyl-CoA synthetase medium chain family member 1	ENSG00000166743
ACSM2A	acyl-CoA synthetase medium chain family member 2A	ENSG00000183747
ACSM2B	acyl-CoA synthetase medium chain family member 2B	ENSG00000066813
ACSM3	acyl-CoA synthetase medium chain family member 3	ENSG00000005187
ACSM4	acyl-CoA synthetase medium chain family member 4	ENSG00000215009
ACSM5	acyl-CoA synthetase medium chain family member 5	ENSG00000183549
ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	ENSG00000260762
ACSM6	acyl-CoA synthetase medium chain family member 6	ENSG00000173124
ACSS1	acyl-CoA synthetase short chain family member 1	ENSG00000154930
ACSS2	acyl-CoA synthetase short chain family member 2	ENSG00000131069
ACSS3	acyl-CoA synthetase short chain family member 3	ENSG00000111058
ACSS3-AS1	ACSS3 antisense RNA 1	ENSG00000258026
ACTA1	actin alpha 1, skeletal muscle	ENSG00000143632
ACTA2	actin alpha 2, smooth muscle	ENSG00000107796
ACTA2-AS1	ACTA2 antisense RNA 1	ENSG00000180139
ACTA3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	
ACTB	actin beta	ENSG00000075624
ACTBL2	actin beta like 2	ENSG00000169067
ACTBP1	ACTB pseudogene 1	ENSG00000229145
ACTBP2	ACTB pseudogene 2	ENSG00000213763
ACTBP3	ACTB pseudogene 3	
ACTBP4	ACTB pseudogene 4	ENSG00000286676
ACTBP5	actin, beta pseudogene 5	
ACTBP6	ACTB pseudogene 6	ENSG00000203413
ACTBP7	ACTB pseudogene 7	ENSG00000185607
ACTBP8	ACTB pseudogene 8	ENSG00000220267
ACTBP9	ACTB pseudogene 9	ENSG00000266920
ACTBP10	ACTB pseudogene 10	
ACTBP11	ACTB pseudogene 11	ENSG00000188460
ACTBP12	ACTB pseudogene 12	ENSG00000233125
ACTBP14	ACTB pseudogene 14	ENSG00000229001
ACTBP15	ACTB pseudogene 15	ENSG00000213857
ACTBP16	ACTB pseudogene 16	ENSG00000241473
ACTC1	actin alpha cardiac muscle 1	ENSG00000159251
ACTE1P	actin epsilon 1, pseudogene	ENSG00000172900
ACTG1	actin gamma 1	ENSG00000184009
ACTG1P1	actin gamma 1 pseudogene 1	ENSG00000178631
ACTG1P2	actin gamma 1 pseudogene 2	ENSG00000229129
ACTG1P3	actin gamma 1 pseudogene 3	ENSG00000215388
ACTG1P4	actin gamma 1 pseudogene 4	ENSG00000236085
ACTG1P6	actin gamma 1 pseudogene 6	
ACTG1P7	actin gamma 1 pseudogene 7	
ACTG1P8	actin gamma 1 pseudogene 8	
ACTG1P9	actin gamma 1 pseudogene 9	ENSG00000229349
ACTG1P10	actin gamma 1 pseudogene 10	ENSG00000231340
ACTG1P11	actin gamma 1 pseudogene 11	ENSG00000229465
ACTG1P12	actin gamma 1 pseudogene 12	ENSG00000226642
ACTG1P13	actin gamma 1 pseudogene 13	ENSG00000241305
ACTG1P14	actin gamma 1 pseudogene 14	ENSG00000230581
ACTG1P15	actin gamma 1 pseudogene 15	ENSG00000259904
ACTG1P16	actin gamma 1 pseudogene 16	ENSG00000260298
ACTG1P17	actin gamma 1 pseudogene 17	ENSG00000259315
ACTG1P18	actin gamma 1 pseudogene 18	ENSG00000218475
ACTG1P19	actin gamma 1 pseudogene 19	ENSG00000237999
ACTG1P20	actin gamma 1 pseudogene 20	ENSG00000241547
ACTG1P21	actin gamma 1 pseudogene 21	ENSG00000232672
ACTG1P22	actin gamma 1 pseudogene 22	ENSG00000271615
ACTG1P23	actin gamma 1 pseudogene 23	ENSG00000230362
ACTG1P24	actin gamma 1 pseudogene 24	ENSG00000226359
ACTG1P25	actin gamma 1 pseudogene 25	ENSG00000234996
ACTG2	actin gamma 2, smooth muscle	ENSG00000163017
ACTL2	symbol withdrawn, see [HGNC:147](/data/gene-symbol-report/#!/hgnc_id/HGNC:147)	
ACTL3	symbol withdrawn, see [HGNC:145](/data/gene-symbol-report/#!/hgnc_id/HGNC:145)	
ACTL4	actin-like 4	
ACTL5	actin-like 5	
ACTL6A	actin like 6A	ENSG00000136518
ACTL6B	actin like 6B	ENSG00000077080
ACTL7A	actin like 7A	ENSG00000187003
ACTL7B	actin like 7B	ENSG00000148156
ACTL8	actin like 8	ENSG00000117148
ACTL9	actin like 9	ENSG00000181786
ACTL10	actin like 10	ENSG00000288649
ACTL11P	actin like 11, pseudogene	ENSG00000234667
ACTMAP	actin maturation protease	ENSG00000188493
ACTN1	actinin alpha 1	ENSG00000072110
ACTN1-DT	ACTN1 divergent transcript	ENSG00000259062
ACTN2	actinin alpha 2	ENSG00000077522
ACTN3	actinin alpha 3	ENSG00000248746
ACTN3-AS1	ACTN3 antisense RNA 1	ENSG00000250105
ACTN4	actinin alpha 4	ENSG00000130402
ACTN4P1	actinin alpha 4 pseudogene 1	ENSG00000213493
ACTN4P2	actinin alpha 4 pseudogene 2	ENSG00000214141
ACTP1	actin family pseudogene 1	ENSG00000229890
ACTR1A	actin related protein 1A	ENSG00000138107
ACTR1AP1	ACTR1A pseudogene 1	ENSG00000233370
ACTR1B	actin related protein 1B	ENSG00000115073
ACTR2	actin related protein 2	ENSG00000138071
ACTR2P1	ACTR2 pseudogene 1	ENSG00000224334
ACTR2P2	ACTR2 pseudogene 2	ENSG00000213985
ACTR3	actin related protein 3	ENSG00000115091
ACTR3-AS1	ACTR3 antisense RNA 1	
ACTR3B	actin related protein 3B	ENSG00000133627
ACTR3BP1	ACTR3B pseudogene 1	ENSG00000270242
ACTR3BP2	ACTR3B pseudogene 2	ENSG00000226481
ACTR3BP3	ACTR3B pseudogene 3	ENSG00000260327
ACTR3BP4	ACTR3B pseudogene 4	ENSG00000249283
ACTR3BP5	ACTR3B pseudogene 5	ENSG00000227264
ACTR3BP6	ACTR3B pseudogene 6	ENSG00000280263
ACTR3BP7	ACTR3B pseudogene 7	ENSG00000226444
ACTR3C	actin related protein 3C	ENSG00000106526
ACTR3P1	ACTR3 pseudogene 1	
ACTR3P2	ACTR3 pseudogene 2	ENSG00000232267
ACTR3P3	ACTR3 pseudogene 3	ENSG00000242573
ACTR5	actin related protein 5	ENSG00000101442
ACTR6	actin related protein 6	ENSG00000075089
ACTR6P1	ACTR6 pseudogene 1	ENSG00000248915
ACTR8	actin related protein 8	ENSG00000113812
ACTR10	actin related protein 10	ENSG00000131966
ACTRT1	actin related protein T1	ENSG00000123165
ACTRT1P1	ACTRT1 pseudogene 1	ENSG00000235239
ACTRT2	actin related protein T2	ENSG00000169717
ACTRT3	actin related protein T3	ENSG00000184378
ACVR1	activin A receptor type 1	ENSG00000115170
ACVR1B	activin A receptor type 1B	ENSG00000135503
ACVR1C	activin A receptor type 1C	ENSG00000123612
ACVR2A	activin A receptor type 2A	ENSG00000121989
ACVR2B	activin A receptor type 2B	ENSG00000114739
ACVR2B-AS1	ACVR2B antisense RNA 1	ENSG00000229589
ACVRL1	activin A receptor like type 1	ENSG00000139567
ACVRLK2	symbol withdrawn, see [HGNC:171](/data/gene-symbol-report/#!/hgnc_id/HGNC:171)	
ACY1	aminoacylase 1	ENSG00000243989
